Wall time,Step,Value
1575513611.9062269,0,0.5780279040336609
1575513611.936872,1,0.54766845703125
1575513611.943844,2,0.5591663122177124
1575513612.028197,3,0.5102189779281616
1575513612.0503428,4,0.6024519205093384
1575513612.056793,5,0.4619009494781494
1575513612.138614,6,0.5196503400802612
1575513612.160715,7,0.5809139013290405
1575513612.16704,8,0.5003651976585388
1575513612.2511842,9,0.5558816194534302
1575513612.2737541,10,0.569915235042572
1575513612.279864,11,0.4232627749443054
1575513612.36128,12,0.48449060320854187
1575513612.382825,13,0.5748728513717651
1575513612.3896298,14,0.5737191438674927
1575513612.4743838,15,0.4834209084510803
1575513612.497189,16,0.5861637592315674
1575513612.50409,17,0.5412051677703857
1575513612.5879529,18,0.5577887296676636
1575513612.6099572,19,0.4952245354652405
1575513612.61611,20,0.5383026003837585
1575513612.6998389,21,0.5209037661552429
1575513612.724162,22,0.5069913268089294
1575513612.730755,23,0.7093302011489868
1575513612.815873,24,0.5571353435516357
1575513612.839319,25,0.5342817306518555
1575513612.8462908,26,0.5092031955718994
1575513612.926817,27,0.5262168645858765
1575513612.948471,28,0.5786563158035278
1575513612.9550998,29,0.5384750962257385
1575513613.0380921,30,0.5515778660774231
1575513613.061377,31,0.5286489129066467
1575513613.06856,32,0.5548109412193298
1575513613.148403,33,0.523690938949585
1575513613.1718569,34,0.501346230506897
1575513613.178157,35,0.5646983981132507
1575513613.258942,36,0.5287409424781799
1575513613.2828631,37,0.47240301966667175
1575513613.289057,38,0.6028916835784912
1575513613.3721468,39,0.5623795390129089
1575513613.3945699,40,0.5267866849899292
1575513613.401207,41,0.5652964115142822
1575513613.483252,42,0.46142080426216125
1575513613.5062242,43,0.4977538585662842
1575513613.512307,44,0.5626293420791626
1575513613.593771,45,0.47698330879211426
1575513613.61535,46,0.5735051035881042
1575513613.621793,47,0.587003767490387
1575513613.7053518,48,0.45884352922439575
1575513613.7292538,49,0.5822353363037109
1575513613.7358668,50,0.573347270488739
1575513613.818021,51,0.5187365412712097
1575513613.84092,52,0.5739757418632507
1575513613.847429,53,0.4331200122833252
1575513613.9316978,54,0.6129674911499023
1575513613.95582,55,0.42775291204452515
1575513613.962784,56,0.558651864528656
1575513614.050538,57,0.5734608769416809
1575513614.0740008,58,0.5182209610939026
1575513614.080044,59,0.5224938988685608
1575513614.167701,60,0.5289003849029541
1575513614.1917179,61,0.48050782084465027
1575513614.1980438,62,0.5747201442718506
1575513614.28265,63,0.514592170715332
1575513614.306667,64,0.543428897857666
1575513614.3133838,65,0.5207056403160095
1575513614.3957891,66,0.5622835159301758
1575513614.418389,67,0.4929291605949402
1575513614.425289,68,0.49001678824424744
1575513614.509134,69,0.44840723276138306
1575513614.532268,70,0.5496328473091125
1575513614.539159,71,0.5275760293006897
1575513614.623586,72,0.5486935377120972
1575513614.647948,73,0.49754250049591064
1575513614.655373,74,0.5022785067558289
1575513614.7383292,75,0.5093817114830017
1575513614.7631402,76,0.5029723048210144
1575513614.769993,77,0.605830729007721
1575513614.852326,78,0.5001853108406067
1575513614.874801,79,0.6133392453193665
1575513614.8815098,80,0.4701237976551056
1575513614.965934,81,0.5438398718833923
1575513614.988787,82,0.49622806906700134
1575513614.9951968,83,0.4866010248661041
1575513615.07761,84,0.5246660113334656
1575513615.100568,85,0.4733136296272278
1575513615.106961,86,0.5722082257270813
1575513615.188818,87,0.5504021048545837
1575513615.211992,88,0.4695431888103485
1575513615.218957,89,0.4460461735725403
1575513615.3015301,90,0.5476381778717041
1575513615.325313,91,0.49873650074005127
1575513615.331591,92,0.42648983001708984
1575513615.413652,93,0.5053642988204956
1575513615.436658,94,0.5750189423561096
1575513615.4430678,95,0.47557052969932556
1575513615.5260642,96,0.49741068482398987
1575513615.5491579,97,0.5107049942016602
1575513615.555694,98,0.475320428609848
1575513615.637374,99,0.5026368498802185
1575513615.659501,100,0.5010676383972168
1575513615.666295,101,0.7126429080963135
1575513615.745265,102,0.5176960825920105
1575513615.768196,103,0.48575907945632935
1575513615.774861,104,0.44828200340270996
1575513615.855358,105,0.4960143566131592
1575513615.878158,106,0.45889008045196533
1575513615.884177,107,0.5353626608848572
1575513615.966849,108,0.5513990521430969
1575513615.990575,109,0.5228304862976074
1575513615.997303,110,0.42825427651405334
1575513616.08137,111,0.5315796136856079
